issuer_name,cusip,value_usd,shares,share_type,put_call,ticker
SPDR S&P 500 ETF TR,78462F103,2557949430000,3751099,SH,,SPY
NVIDIA CORPORATION,67066G104,2008642300000,10770200,SH,,
NVIDIA CORPORATION,67066G104,1887371608000,10119955,SH,,
MICROSOFT CORP,594918104,1700827702000,3516868,SH,,MSFT
PALANTIR TECHNOLOGIES INC,69608A108,1457198766000,8198024,SH,,PLTR
ADVANCED MICRO DEVICES INC,007903107,1345167657000,6281134,SH,,AMD
MICROSOFT CORP,594918104,1311734133000,2712324,SH,,MSFT
APPLE INC,037833100,1259026886000,4631159,SH,,AAPL
TEXAS INSTRS INC,882508104,1166617023000,6724405,SH,,
TESLA INC,88160R101,1161851620000,2583500,SH,Put,
BOOKING HOLDINGS INC,09857L108,1075655518000,200857,SH,,BKNG
NETFLIX INC,64110L106,900676937000,9606196,SH,,NFLX
TAIWAN SEMICONDUCTOR MFG LTD,874039100,896156416000,2948950,SH,,TSMWF
AMAZON COM INC,023135106,861768778000,3733510,SH,,AMZN
BOSTON SCIENTIFIC CORP,101137107,855505468000,8972265,SH,,BSX
SOFI TECHNOLOGIES INC,83406F102,850094707000,32471150,SH,,SOFI
WESTERN DIGITAL CORP,958102105,849940558000,4933770,SH,,WDC
GENERAL MTRS CO,37045V100,816336512000,10038570,SH,,
ISHARES TR,464287200,804804500000,1175000,SH,,
WESTERN DIGITAL CORP,958102AT2,708857702000,154437000,PRN,,WDC
ALPHABET INC,02079K305,706826929000,2258233,SH,,GOOG
HOME DEPOT INC,437076102,703183490000,2043544,SH,,HD
NVIDIA CORPORATION,67066G104,700195600000,3754400,SH,Put,
SCHWAB CHARLES CORP,808513105,687374506000,6879937,SH,,SCHW-PJ
BLOOM ENERGY CORP,093712107,670335496000,7714760,SH,,BE
NORFOLK SOUTHN CORP,655844108,656442454000,2273630,SH,,
FREEPORT-MCMORAN INC,35671D857,651163099000,12820695,SH,,FCX
MICRON TECHNOLOGY INC,595112103,646977948000,2266837,SH,,MU
META PLATFORMS INC,30303M102,642729633000,973700,SH,Put,META
INTUITIVE SURGICAL INC,46120E602,639496332000,1129134,SH,,ISRG
MCDONALDS CORP,580135101,631536411000,2066343,SH,,MCD
INSMED INC,457669307,616779834000,3543897,SH,,INSM
ROSS STORES INC,778296103,612576878000,3400560,SH,,ROST
BROADCOM INC,11135F101,605814824000,1750404,SH,,AVGO
VERISK ANALYTICS INC,92345Y106,599584045000,2680424,SH,,VRSK
ALPHABET INC,02079K305,592008200000,1891400,SH,Put,GOOG
MONGODB INC,60937P106,585181321000,1394318,SH,,
TESLA INC,88160R101,570979802000,1269634,SH,,
META PLATFORMS INC,30303M102,562682499000,852433,SH,,META
LOCKHEED MARTIN CORP,539830109,556207441000,1149973,SH,,LMT
SAP SE,803054204,555816460000,2288158,SH,,SAPGF
MICRON TECHNOLOGY INC,595112103,554094974000,1941400,SH,Put,MU
ADVANCED MICRO DEVICES INC,007903107,550605360000,2571000,SH,Put,AMD
FISERV INC,337738108,547960837000,8157821,SH,,FISV
PROCTER AND GAMBLE CO,742718109,537997635000,3754083,SH,,
FAIR ISAAC CORP,303250104,532858065000,315185,SH,,FICO
PALANTIR TECHNOLOGIES INC,69608A108,532094625000,2993500,SH,Put,PLTR
COSTCO WHSL CORP NEW,22160K105,526847485000,610951,SH,,
UNITEDHEALTH GROUP INC,91324P102,525865230000,1593000,SH,Put,UNH
ELI LILLY & CO,532457108,524873712000,488400,SH,Put,LLY
