issuer_name,cusip,value_usd,shares,share_type,put_call,ticker
NVIDIA CORPORATION,67066G104,1862622125000,9987250,SH,,
SPDR S&P 500 ETF TR,78462F103,1737327584000,2547700,SH,Put,SPY
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1417535018000,4664632,SH,,TSMWF
INVESCO QQQ TR,46090E103,1346076072000,2191200,SH,Put,QQQ
AMAZON COM INC,023135106,1212779291000,5254221,SH,,AMZN
SPDR S&P 500 ETF TR,78462F103,1164242016000,1707300,SH,Call,SPY
MICROSOFT CORP,594918104,1006656964000,2081504,SH,,MSFT
ARISTA NETWORKS INC,040413205,990602131000,7560117,SH,,ANET
BROADCOM INC,11135F101,988626344000,2856476,SH,,AVGO
CREDO TECHNOLOGY GROUP HOLDI,G25457105,800410572000,5562656,SH,,CRDO
ASML HOLDING N V,N07059210,632107524000,590832,SH,,ASMLF
SEA LTD,81141R100,625485150000,4903074,SH,,SE
COHERENT CORP,19247G107,616267233000,3338935,SH,,COHR
EQUINIX INC,29444U700,590877915000,771220,SH,,EQIX
SPOTIFY TECHNOLOGY S A,L8681T102,563845601000,970959,SH,,SPOT
TERADYNE INC,880770102,545175483000,2816571,SH,,
SPDR SERIES TRUST,78464A870,498474226000,4088200,SH,Put,
BIOGEN INC,09062X103,495093660000,2813192,SH,,BIIB
ISHARES TR,464287655,431469248000,1752800,SH,Put,
DANAHER CORPORATION,235851102,387512113000,1692784,SH,,
PEPSICO INC,713448108,338249515000,2356811,SH,,PEP
TRANSDIGM GROUP INC,893641100,336160813000,252781,SH,,TDG
AKAMAI TECHNOLOGIES INC,00971T101,331300727000,3797143,SH,,AKAM
INTUITIVE SURGICAL INC,46120E602,330085369000,582819,SH,,ISRG
ABIVAX SA,00370M103,324886463000,2409154,SH,,
AT&T INC,00206R102,323935608000,13040886,SH,,T-PA
HOME DEPOT INC,437076102,320699135000,931994,SH,,HD
ATLASSIAN CORPORATION,049468101,313528172000,1933688,SH,,
AUTODESK INC,052769106,311444257000,1052141,SH,,
CISCO SYS INC,17275R102,304020617000,3946782,SH,,CSCO
PERFORMANCE FOOD GROUP CO,71377A103,301655793000,3354713,SH,,PFGC
MONGODB INC,60937P106,299228897000,712976,SH,,
CAPITAL ONE FINL CORP,14040H105,290070262000,1196857,SH,,COF-PN
NEWS CORP NEW,65249B109,289093287000,11067890,SH,,NWSLL
CSX CORP,126408103,285231639000,7868459,SH,,CSX
DOORDASH INC,25809K105,279050311000,1232119,SH,,
SCHWAB CHARLES CORP,808513105,264041149000,2642790,SH,,SCHW-PJ
UNITY SOFTWARE INC,91332U101,255760025000,5790356,SH,,U
WILLIAMS COS INC,969457100,253293983000,4213841,SH,,
THERMO FISHER SCIENTIFIC INC,883556102,253137368000,436858,SH,,TMO
SPDR GOLD TR,78463V107,252013529000,635900,SH,Put,GLD
VISA INC,92826C839,249792145000,712247,SH,,V
VERISIGN INC,92343E102,238022002000,979716,SH,,VRSN
BOSTON SCIENTIFIC CORP,101137107,232135582000,2434563,SH,,BSX
TE CONNECTIVITY PLC,G87052109,231726443000,1018533,SH,,TEL
BILL HOLDINGS INC,090043100,226511656000,4153129,SH,,BILL
MICRON TECHNOLOGY INC,595112103,224315135000,785940,SH,,MU
ELASTIC N V,N14506104,214352576000,2841365,SH,,ESTC
CENTERPOINT ENERGY INC,15189T107,212291456000,5537075,SH,,CNP
LULULEMON ATHLETICA INC,550021109,209642261000,1008817,SH,,LULU
